STUs,No of Vehicles,No of Accidents,No of Breakdown,Fuel Liters,Passenger Kms.,Vehicle Kms. (in lakh),No. of Labour,Passenger Carried
APSRTC,11931,1217,8830,256952,540016.93,16237.56,59372,22977.48
MSRTC,16981,58689,58689,443747,639076,21006.38,105679,24560.54
GSRTC,6587,569,7121,194667,326305,10665.37,39707,7586.72
UPSRTC,9269,630,3170,168266.16,418643,11849.91,23028,5560.1
KnSRTC,7401,1100,2820,208754,343937.34,9683.57,37129,10103.63
KSRTC,4523,1421,18505,141550,271172,5489,40898,10437
RSRTC,4013,331,10625,115078.96,218068.96,5902.37,19163,3387.78
NWKnRTC,4558,499,1752,115771,178256.45,5838.63,19976,8271.6
TNSTC (MDU),2459,551,231,76826.66,192065.32,4009.25,55993,6406.78
STHAR,3747,263,4118,95649,172763,4589.28,,4554.46
TNSTC (KUM),3291,982,84,116715.63,280317.6,6378.58,,10895.61
TNSTC (VPM),3442,1085,402,118003.23,269338,6438.04,,8420
TNSTC (CBE),2977,983,87,96789,236591,4867.88,,9323
NEKnRTC,3984,404,4216,96785,158480.93,4809.32,,4923
TNSTC (SLM),2042,304,119,72693.11,156566.93,3944.63,,5533.12
TSRTC,10379,827,4997,195323,435551.16,12381.39,,32935.94
SETC(TN),1053,335,127,45824.01,80169.99,2335.03,6811,268.72
NBSTC,632,113,3135,13901.7,18931.69,558.96,3706,
SBSTC,465,71,1322,11339.43,16626.24,447.5,2117,63.05
KDTC,361,70,931,7029,9798.65,309.37,2003,356.18
ASMSTC,1677,31,479,8268,18537.48,735.81,3987,351.58
OSRTC,372,27,491,7111.28,12042.04,330.13,1599,69.64
ANST,236,,,,,106.03,1616,81.33
SKNT,70,0,973,575.15,402.14,17.53,723,14
HRTC,2509,109,4631,49553,47997.93,1853.63,9221,
UTC,1092,97,837,24465.33,48250.86,1382,5235,369.17
MEGTC,46,,,552.08,486.64,26.22,270,3.9
NMMT,313,150,2189,5076,8618.31,264.1,2379,843.5
BEST,3466,465,17527,23827,73490,2341.3,33699,10611
DTC*,3817,153,120411,,123655.13,2673.47,30527,12944.09
BMTC,5856,333,2570,123562,206239.38,4469.82,35554,206239.38
MTC(CNI),3237,1551,110,83307,190868.25,3535.23,24930,190868.25
PMPML,1447,106,24003,12494.77,43123.47,1146.17,12472,43123.47
AMTS,804,715,13135,,17902,613.65,4790,2274.95
TMTU,192,59,5498,2607.14,4781.22,130.94,2186,574.92
KMTU,101,162,4845,2246.8,2977.46,86.98,974,220.46
KADMTU,83,10,134,2059.3,2537.94,58.69,570,168.3
TAMILNADU 7,18501,5791,1160,,1405917.09,31509,126444,58661.89
